id;price;currency;condition;Marca;Puertas;Tipo de combustible;Kilómetros;Modelo;Versión;Año;adressstate_name;adresscity_name;Motor;Transmisión
180324;2267047;ARS;used;Ford;4;Nafta;65789;Ka;1.5 Se 4 p;2018;Capital Federal;Capital Federal;1.5;Manual
179824;2482136;ARS;used;Ford;5;Nafta;84833;Ka;1.5 Se 5 p;2018;Capital Federal;Capital Federal;1.5;Manual
174193;2503969;ARS;used;Ford;4;Nafta;;Ka;1.5 Sel 4 p;2018;Capital Federal;Capital Federal;1.5;Manual
179249;2634352;ARS;used;Ford;4;Nafta;42001;Ka;1.5 Sel 4 p;2019;Capital Federal;Capital Federal;1.5;Manual
175207;2958647;ARS;used;Ford;5;Nafta;22123;Ka;1.5 Freestyle Sel;2020;Capital Federal;Capital Federal;1.5;Manual
181983;3454988;ARS;used;Ford;5;Nafta;29510;Ka;1.5 Freestyle Se;2020;Capital Federal;Capital Federal;1.5;Manual
177322;3897905;ARS;used;Ford;5;Nafta;16032;Ka;1.5 Freestyle Se;2021;Capital Federal;Capital Federal;1.5;Manual
182734;5526326;ARS;used;Ford;5;Nafta;;Kuga;2.0 Titanium At Awd;2017;Capital Federal;Capital Federal;2;Automática
167825;5227316;ARS;used;Ford;4;Nafta;63295;Mondeo;2.0 Titanium Ecoboost At 240cv;2018;Capital Federal;Capital Federal;2;Automática
180359;5384224;ARS;used;Ford;4;Diesel;61132;Ranger;3.2 Cd Xls Tdci 200cv Manual 4x2;2017;Capital Federal;Capital Federal;3.2;Manual
143918;6586014;ARS;used;Ford;4;Diesel;75852;Ranger;3.2 Cd Limited Tdci 200cv Automática;2018;Capital Federal;Capital Federal;3.2;Automática
182745;7191175;ARS;used;Ford;4;Diesel;;Ranger;3.2 Cd Limited Tdci 200cv Automática;2019;Capital Federal;Capital Federal;3.2;Automática
182744;6438510;ARS;used;Ford;4;Diesel;;Ranger;3.2 Cd Xlt Tdci 200cv Manual 4x4;2019;Capital Federal;Capital Federal;3.2;Manual
177968;6879597;ARS;used;Ford;4;Diesel;43662;Ranger;3.2 Cd Xls Tdci 200cv Automática;2020;Capital Federal;Capital Federal;3.2;Automática
182737;7837924;ARS;used;Ford;4;Diesel;;Ranger;3.2 Cd Limited Tdci 200cv Automática;2021;Capital Federal;Capital Federal;3.2;Automática
182735;6920436;ARS;used;Ford;4;Diesel;;Ranger;3.2 Cd Xls Tdci 200cv Manual 4x4;2021;Capital Federal;Capital Federal;3.2;Manual
183963;2722079;ARS;used;Honda;4;Nafta;;Civic;1.8 Exs At 140cv;2013;Capital Federal;Capital Federal;1.8;Automática
132547;4493551;ARS;used;Honda;4;Nafta;71225;Civic;2.0 Ex-l 2017;2017;Capital Federal;Capital Federal;2;Automática
174869;1634363;ARS;used;Honda;5;Nafta;66550;Fit;1.4 Lx Mt;2010;Capital Federal;Capital Federal;1.4;Manual
185258;4255955;ARS;used;Honda;5;Nafta;75307;Hr-V;1.8 Ex 2wd Cvt;2016;Capital Federal;Capital Federal;1.8;Automática
184832;4354847;ARS;used;Honda;5;Nafta;97381;Hr-V;1.8 Ex-l 2wd Cvt;2016;Capital Federal;Capital Federal;1.8;Automática
165957;4582797;ARS;used;Honda;5;Nafta;54000;Hr-V;1.8 Lx 2wd Cvt;2017;Capital Federal;Capital Federal;1.8;Automática
173400;6022447;ARS;used;Honda;5;Nafta;47687;Hr-V;1.8 Ex-l 2wd Cvt;2020;Capital Federal;Capital Federal;1.8;Automática
168184;7236549;ARS;used;Jeep;5;Nafta;70000;Compass;2.4 Limited Plus;2019;Capital Federal;Capital Federal;2.4;Automática
179583;8205591;ARS;used;Jeep;5;Nafta;20067;Compass;2.4 Limited;2020;Capital Federal;Capital Federal;2.4;Automática
161179;3347538;ARS;used;Jeep;5;Nafta;76090;Renegade;1.8 Sport;2016;Capital Federal;Capital Federal;1.8;Manual
156346;3447845;ARS;used;Jeep;5;Nafta;63000;Renegade;1.8 Sport;2017;Capital Federal;Capital Federal;1.8;Manual
183641;3800632;ARS;used;Jeep;5;Nafta;77745;Renegade;1.8 Sport;2017;Capital Federal;Capital Federal;1.8;Manual
173840;3545897;ARS;used;Jeep;5;Nafta;86260;Renegade;1.8 Sport Plus;2017;Capital Federal;Capital Federal;1.8;Manual
155073;3879385;ARS;used;Jeep;5;Nafta;72753;Renegade;1.8 Sport Plus;2017;Capital Federal;Capital Federal;1.8;Manual
181437;4166637;ARS;used;Jeep;5;Nafta;59343;Renegade;1.8 Sport Automática;2018;Capital Federal;Capital Federal;0;Automática
170641;4166620;ARS;used;Jeep;5;Nafta;64000;Renegade;1.8 Sport Automática;2018;Capital Federal;Capital Federal;0;Automática
168662;4050028;ARS;used;Jeep;5;Nafta;37000;Renegade;1.8 Sport Automática;2018;Capital Federal;Capital Federal;0;Automática
165180;4171285;ARS;used;Jeep;5;Nafta;83190;Renegade;1.8 Longitude At6;2018;Capital Federal;Capital Federal;1.8;Automática
181230;4958021;ARS;used;Jeep;5;Nafta;30766;Renegade;1.8 Longitude At6;2018;Capital Federal;Capital Federal;1.8;Automática
175519;4702752;ARS;used;Jeep;5;Nafta;47584;Renegade;1.8 Longitude At6;2018;Capital Federal;Capital Federal;1.8;Automática
164440;4300662;ARS;used;Jeep;5;Nafta;42000;Renegade;1.8 Longitude At6;2018;Capital Federal;Capital Federal;1.8;Automática
